device_cpu_model,device_total_ram,device_storage_type,mac_address,timestamp,cpu_usage,memory_usage,disk_usage,total_power,carbon emission,network_usage,grid_intensity,num_processes
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:36:27,15.4,86.8,7.1,25.08176,11.286791999999998,320.19,450,292
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:36:28,3.6,84.3,7.1,7.882739999999999,3.5472329999999994,320.21,450,292
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:36:29,0.0,84.3,7.1,2.6576999999999997,1.195965,320.21,450,292
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:36:30,3.8,84.3,7.1,8.173019999999998,3.677858999999999,320.21,450,292
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:36:32,8.6,84.3,7.1,15.139739999999996,6.8128829999999985,320.21,450,292
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:36:33,10.4,84.4,7.1,17.75516,7.989821999999999,320.21,450,292
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:36:34,2.0,84.4,7.1,5.5634,2.50353,320.21,450,292
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:36:35,1.8,85.4,7.1,5.30212,2.3859540000000004,320.23,450,292
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:36:36,0.0,85.4,7.1,2.6896000000000004,1.21032,320.23,450,292
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:36:37,12.5,85.4,7.1,20.8321,9.374445,320.24,450,292
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:36:38,0.0,85.4,7.1,2.6896000000000004,1.21032,320.24,450,292
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:36:39,11.5,85.4,7.1,19.3807,8.721315,320.24,450,292
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:36:41,6.1,85.4,7.1,11.54314,5.194412999999999,320.25,450,292
