device_cpu_model,device_total_ram,device_storage_type,timestamp,cpu_usage,memory_usage,disk_usage,total_power,temperature,network_usage,grid_intensity,num_processes,screen_brightness,gpu_usage
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:25,4.2,85.9,6.4,8.77898,,147.15,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:26,2.1,86.2,6.4,5.73974,,147.17,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:27,14.3,86.2,6.4,23.446820000000002,,147.18,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:29,6.0,86.2,6.4,11.4002,,147.18,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:30,6.0,86.1,6.4,11.3973,,147.18,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:32,2.0,86.1,6.4,5.5916999999999994,,147.19,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:33,0.0,86.1,6.4,2.6889,,147.19,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:34,6.0,86.1,6.4,11.3973,,147.19,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:36,9.3,86.1,6.4,16.18692,,147.21,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:37,0.0,86.2,6.4,2.6918,,147.22,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:38,5.6,86.2,6.4,10.81964,,147.23,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:40,6.0,86.2,6.4,11.4002,,147.23,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:41,3.6,86.3,6.4,7.91974,,147.24,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:42,2.3,86.3,6.4,6.03292,,147.25,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:44,1.9,86.3,6.4,5.45236,,147.25,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:45,9.3,86.4,6.4,16.19562,,147.26,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:46,4.0,86.4,6.4,8.5032,,147.28,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:48,2.1,86.4,6.4,5.74554,,147.29,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:49,6.8,86.4,6.4,12.56712,,147.3,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:50,2.1,86.4,6.4,5.74554,,147.3,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:52,24.5,86.4,6.4,38.256899999999995,,147.3,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:53,0.0,86.4,6.4,2.6976000000000004,,147.31,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:54,4.0,86.4,6.4,8.5032,,147.31,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:42:56,4.9,86.4,6.4,9.80946,,147.31,487.05589193885544,271,20,
